date,value
2022-01-15,7.516260162601626
2022-02-04,6.911764705882353
2022-01-20,7.236976506639428
2022-01-13,10.173824130879346
2022-02-03,8.360453141091659
2022-01-14,9.641260162601625
2022-04-14,7.49685534591195
2022-04-13,8.189330543933055
2022-01-31,9.85625646328852
2022-03-09,8.300736067297581
2022-01-30,8.148373983739837
2022-01-28,9.067073170731707
2022-01-27,9.63109756097561
2022-01-26,7.745850622406639
2022-03-11,9.513541666666667
2022-01-25,12.176778242677825
2022-01-22,15.722457627118644
2022-02-01,11.266457680250785
2022-06-15,6.869515011547344
2022-01-12,9.926229508196721
2022-01-21,8.244918699186991
2022-01-29,8.590447154471544
2022-03-19,7.340625
2022-01-23,11.825819672131148
2022-06-16,7.827886710239651
2022-03-12,9.40980187695516
2022-01-24,10.318602261048305
2022-02-02,8.985416666666667
2022-02-05,7.4633891213389125
2022-04-17,5.566666666666666
2022-04-16,6.495833333333334
2022-04-15,8.175
2022-03-16,10.16259298618491
2022-03-15,9.470401691331924
2022-02-06,8.453125
2022-03-10,9.296760710553814
2022-01-19,8.640786749482402
2022-04-03,7.803418803418803
2022-04-02,6.887820512820513
2022-01-17,8.452479338842975
2022-01-16,9.170731707317072
2022-01-11,8.864669421487603
2022-01-05,9.86890243902439
2022-03-18,11.71937172774869
2022-11-13,4.617521367521367
2022-01-18,7.733480176211454
2022-04-04,7.201320132013201
2022-03-21,6.60126582278481
2022-12-06,7.711306256860593
2022-05-14,8.282586027111575
2022-03-01,8.941558441558442
2022-02-14,7.748723186925434
2022-02-09,9.200828157349896
2022-04-05,8.406761177753545
2022-03-03,7.576557550158395
2022-11-12,4.227564102564102
2023-07-25,10.663344407530454
2022-02-15,7.818743563336766
2023-04-26,9.612761276127612
2022-12-20,5.618997912317328
2022-12-19,6.110286320254507
2023-02-02,10.59018143009605
2022-01-10,7.258872651356993
2022-01-08,7.480162767039674
2022-01-07,6.790650406504065
2022-01-06,8.084349593495935
2022-01-04,7.916666666666667
2022-01-03,7.102642276422764
2022-01-02,6.109756097560975
2022-03-08,7.208025343189018
2022-11-09,6.078579117330463
2022-10-07,6.989316239316239
2022-09-26,6.264434180138569
2022-10-13,8.646408839779005
2022-11-08,5.911229946524064
2022-11-11,6.916666666666667
2022-09-28,4.4171301446051165
2022-01-09,7.902083333333334
2023-01-21,7.575599582898853
2023-01-29,6.559375
2022-05-09,10.167708333333334
2022-01-01,13.966463414634147
2023-02-15,9.11465721040189
2022-05-10,10.19375
2023-03-03,8.0239651416122
2022-11-10,7.026852846401718
2022-04-08,7.4326923076923075
2023-04-27,10.572527472527472
2022-11-15,6.414346895074947
2022-09-29,4.935955056179775
2022-02-12,7.602642276422764
2022-11-25,8.276709401709402
2023-02-11,7.469298245614035
2022-04-09,9.173076923076923
2023-08-17,7.145299145299146
2023-01-16,8.408141962421713
2022-03-02,9.281481481481482
2022-11-24,7.402386117136659
2022-10-17,6.8106060606060606
2023-02-03,6.7229437229437226
2022-09-23,5.454981992797119
2022-10-09,5.861111111111111
2023-08-18,7.211538461538462
2022-02-11,7.657520325203252
2022-10-01,5.449561403508772
2022-05-08,8.722916666666666
2022-08-10,5.389428263214671
2022-02-18,6.794273594909862
2022-02-10,9.735537190082646
2022-02-17,8.49676724137931
2022-10-30,8.290598290598291
2022-09-05,4.120495495495495
